id,name,price,expires
41,Bread - Pain Au Liat X12,1.66,05/04/2019
42,Sauce Bbq Smokey,3.32,07/27/2019
43,Nut - Macadamia,2.32,12/16/2019
44,Bread - Malt,2.56,08/30/2019
45,Bread - Hamburger Buns,4.43,08/30/2019
46,Hold Up Tool Storage Rack,3.66,02/03/2019
47,Banana - Leaves,4.8,01/09/2019
48,Mackerel Whole Fresh,3.98,07/25/2019
49,Scotch - Queen Anne,2.14,05/20/2019
50,Bread Bowl Plain,2.09,12/04/2019
51,Pomello,4.37,10/23/2019
52,Truffle Shells - White Chocolate,3.77,06/10/2019
53,Appetizer - Shrimp Puff,4.6,01/20/2019
54,"Chilli Paste, Ginger Garlic",2.54,08/11/2019
55,Muffins - Assorted,2.89,02/23/2019
56,Wine - Maipo Valle Cabernet,2.82,03/13/2019
57,Tomato - Green,1.07,07/06/2019
58,"Gingerale - Schweppes, 355 Ml",1.15,06/03/2019
59,Soup - Campbells Chicken,3.96,07/25/2019
60,"Wine - Red, Mouton Cadet",4.47,01/07/2019
61,Veal - Eye Of Round,4.84,03/17/2019
62,Veal Inside - Provimi,4.66,06/06/2019
63,Savory,4,12/14/2019
64,Container - Hngd Cll Blk 7x7x3,3.22,11/09/2019
65,Wine - Guy Sage Touraine,1.48,05/18/2019
66,Lettuce - Red Leaf,1.88,01/07/2019
67,"Wine - Red, Marechal Foch",4.99,03/02/2019
68,"Chicken - Wings, Tip Off",2.5,04/06/2019
69,V8 - Vegetable Cocktail,2.72,10/30/2019
70,Island Oasis - Raspberry,3.64,03/25/2019
71,Table Cloth 81x81 Colour,2.51,06/27/2019
72,Olives - Nicoise,2.31,07/04/2019
73,Cream - 10%,4.2,05/18/2019
74,Cookie Dough - Chocolate Chip,1.99,07/20/2019
75,Eggplant - Baby,4.97,01/17/2019
76,Lotus Rootlets - Canned,3.19,01/08/2019
77,Apricots - Halves,2.12,04/17/2019
78,Veal - Eye Of Round,1.09,08/01/2019
79,"Pork - Bacon, Sliced",4.3,05/28/2019
80,Chocolate - Semi Sweet,4.96,05/07/2019
81,"Cheese - Cheddar, Mild",1.32,12/30/2019
82,Cheese - Gouda,4.59,02/19/2019
83,"Potatoes - Yukon Gold, 80 Ct",2.57,10/26/2019
84,Ice Cream Bar - Drumstick,1.55,06/11/2019
85,Beef - Montreal Smoked Brisket,2.88,07/10/2019
86,Rabbit - Whole,1.73,07/09/2019
87,Snapple - Iced Tea Peach,3.32,03/20/2019
88,Magnotta - Bel Paese White,1.21,01/18/2019
89,Plastic Arrow Stir Stick,3.5,04/09/2019
90,Scallops - 20/30,2,02/22/2019
91,Pastry - Apple Large,1.37,01/26/2019
92,Pork Ham Prager,3.47,04/26/2019
93,Amaretto,2.14,04/02/2019
94,Sage - Rubbed,1.71,04/29/2019
95,Kellogs Cereal In A Cup,4.01,02/09/2019
96,Bread - Italian Corn Meal Poly,2.15,08/03/2019
97,Cake - Box Window 10x10x2.5,4.08,06/23/2019
98,"Potatoes - Purple, Organic",1.07,02/25/2019
99,Wine - Kwv Chenin Blanc South,1.87,09/15/2019
100,Chocolate - Mi - Amere Semi,1.62,10/16/2019
101,"Crab - Claws, Snow 16 - 24",4.94,02/26/2019
102,"Vodka - Hot, Lnferno",3.85,12/12/2019
103,Chives - Fresh,1.6,11/15/2019
104,"Wine - Red, Harrow Estates, Cab",3.36,02/10/2019
105,Pork - Side Ribs,4.85,10/29/2019
106,"Syrup - Monin, Irish Cream",4.21,05/06/2019
107,Mackerel Whole Fresh,1.88,02/07/2019
108,Garlic Powder,2.27,12/16/2019
109,Chips - Potato Jalapeno,1.54,12/30/2019
110,Ham - Virginia,1.06,06/28/2019
111,Breadfruit,2.96,12/08/2019
112,Macaroons - Homestyle Two Bit,3.69,11/06/2019
113,Table Cloth 54x54 White,4.92,03/25/2019
114,Bread - Corn Muffaletta,1.53,05/25/2019
115,Pears - Fiorelle,3.46,05/28/2019
116,Nectarines,3.75,06/18/2019
117,"Pepsi - Diet, 355 Ml",3.87,10/11/2019
118,Nestea - Iced Tea,1.73,08/26/2019
119,Cod - Black Whole Fillet,3.64,11/09/2019
120,Tandoori Curry Paste,1.23,11/02/2019
121,Chick Peas - Dried,4.68,08/31/2019
122,Sugar - Palm,4.32,02/06/2019
123,Wine - Shiraz Wolf Blass Premium,3.59,12/02/2019
124,Creme De Banane - Marie,1.9,01/12/2019
125,Lighter - Bbq,3.31,07/20/2019
126,Mussels - Cultivated,4.41,03/28/2019
127,"Beef - Rib Roast, Cap On",3.38,03/07/2019
128,Tea - Herbal - 6 Asst,2.94,08/29/2019
129,Trueblue - Blueberry Cranberry,4.18,07/07/2019
130,"Bread - Pullman, Sliced",4.13,07/07/2019
131,"Tray - Foam, Square 4 - S",2.57,08/24/2019
132,Tofu - Firm,4.1,07/22/2019
133,Veal - Inside,2.39,10/29/2019
134,Pepper - Green Thai,1.52,07/12/2019
135,Trout - Smoked,3.74,10/23/2019
136,Red Currant Jelly,3.33,04/15/2019
137,Chickensplit Half,1.51,04/01/2019
138,Soup - Campbells Mac N Cheese,2.76,01/10/2019
139,Truffle - Whole Black Peeled,4.76,01/10/2019
140,Alize Sunset,4.46,02/21/2019
141,Sauce - Hollandaise,2.3,11/24/2019
142,Bag - Clear 7 Lb,4.52,12/01/2019
143,French Pastries,2.77,04/19/2019
144,Cake - Miini Cheesecake Cherry,1.62,05/04/2019
145,"Doilies - 10, Paper",3,09/18/2019
146,Chocolate Liqueur - Godet White,1.75,06/08/2019
147,Rice - Jasmine Sented,3.56,07/02/2019
148,Samosa - Veg,4.42,08/17/2019
149,Cake - Lemon Chiffon,1.56,08/25/2019
150,"Lobster - Baby, Boiled",2.57,06/07/2019
151,Chicken Thigh - Bone Out,1.73,09/14/2019
152,"Pineapple - Canned, Rings",2.85,03/19/2019
153,"Juice - Pineapple, 341 Ml",1.44,11/16/2019
154,"Nut - Almond, Blanched, Ground",3.94,08/11/2019
155,Squeeze Bottle,1.68,07/11/2019
156,Wine - Maipo Valle Cabernet,4.05,07/17/2019
157,Cheese - Stilton,3.8,09/15/2019
158,Pastry - Cherry Danish - Mini,4.02,05/24/2019
159,"Butter - Salted, Micro",1.97,11/25/2019
160,Beets - Golden,3.48,04/17/2019
161,Emulsifier,2.11,01/28/2019
162,Pork Loin Cutlets,3.08,08/16/2019
163,Puree - Mocha,4.93,04/16/2019
164,Compound - Rum,3.81,09/19/2019
165,Rolled Oats,2.16,12/26/2019
166,Petite Baguette,3.28,08/05/2019
167,Longan,4.17,02/19/2019
168,"Trout - Rainbow, Frozen",3.83,07/06/2019
169,Sea Urchin,3.04,10/29/2019
170,Loquat,1.13,05/29/2019
171,"Leeks - Baby, White",2.43,06/26/2019
172,"Pork - Bacon, Double Smoked",4.16,03/20/2019
173,Beef - Tenderloin Tails,2.24,12/09/2019
174,"Salsify, Organic",2.67,06/14/2019
175,Sausage - Chorizo,3.87,09/11/2019
176,"Apple - Delicious, Red",4.2,11/28/2019
177,Zucchini - Green,1.31,11/17/2019
178,Muffin Orange Individual,2.92,01/27/2019
179,Chicken - Base,1.52,11/25/2019
180,Bay Leaf Ground,3.33,09/10/2019
181,Muffin Mix - Corn Harvest,4.52,01/16/2019
182,Muffin - Mix - Bran And Maple 15l,1.41,05/02/2019
183,Wine - Chablis 2003 Champs,4.9,08/05/2019
184,Cabbage Roll,2.21,12/28/2019
185,Campari,3.76,08/13/2019
186,Tea Leaves - Oolong,4.7,05/08/2019
187,Soho Lychee Liqueur,4.04,12/27/2019
188,Beef - Tender Tips,4.63,06/10/2019
189,Flower - Dish Garden,2.92,05/13/2019
190,Coffee - Decaffeinato Coffee,4.88,04/09/2019
191,Jolt Cola - Electric Blue,4.73,12/10/2019
192,Oil - Sunflower,2.07,06/04/2019
193,Canadian Emmenthal,2.22,06/29/2019
194,Beer - Steamwhistle,4.28,05/23/2019
195,Garbage Bag - Clear,3.65,11/25/2019
196,Appetizer - Escargot Puff,1.39,06/09/2019
197,Table Cloth 62x120 Colour,3.64,03/30/2019
198,Cornish Hen,2.96,03/09/2019
199,Beer - Fruli,4.07,02/16/2019
200,"Quail - Whole, Boneless",4.46,12/05/2019
201,Curry Paste - Madras,4.57,06/25/2019
202,"Sugar - Sweet N Low, Individual",3.89,07/04/2019
203,Wine - Fat Bastard Merlot,2.54,06/06/2019
204,Fond - Chocolate,3.72,03/22/2019
205,Olive - Spread Tapenade,3.36,01/13/2019
206,"Soup - Knorr, Chicken Noodle",4.47,11/09/2019
207,Oil - Pumpkinseed,3.74,08/21/2019
208,"Beef - Baby, Liver",1.12,10/23/2019
209,Juice - V8 Splash,1.25,06/11/2019
210,Chinese Foods - Chicken Wing,1.74,03/04/2019
211,Trueblue - Blueberry 12x473ml,1.25,12/06/2019
212,Cookie Dough - Chocolate Chip,3.29,11/28/2019
213,Cumin - Whole,1.9,05/04/2019
214,Tea Peppermint,1.93,01/24/2019
215,White Fish - Filets,3.52,07/02/2019
216,Cheese - Bocconcini,2.44,12/16/2019
217,"Cookies - Oreo, 4 Pack",2.93,10/18/2019
218,Bread - Corn Muffaleta Onion,1.58,01/20/2019
219,Beer - Sleeman Fine Porter,1.88,01/02/2019
220,Wine - Sauvignon Blanc Oyster,2.41,03/09/2019
221,Ice Cream - Life Savers,1.38,11/04/2019
222,Water - Perrier,3.44,12/12/2019
223,"Nut - Pine Nuts, Whole",3.21,02/27/2019
224,Wine - Pinot Noir Mondavi Coastal,3.62,01/15/2019
225,Spice - Paprika,1.8,01/11/2019
226,Cookie Dough - Oatmeal Rasin,2.05,05/04/2019
227,Cleaner - Bleach,4.63,03/24/2019
228,Salt - Sea,3.09,05/07/2019
229,Truffle Cups - Red,4.59,10/30/2019
230,Flounder - Fresh,1.97,11/13/2019
231,Kale - Red,1.38,06/26/2019
232,"Crab - Dungeness, Whole, live",1.19,11/22/2019
233,Apricots - Dried,3.93,02/20/2019
234,"Soup - Knorr, Ministrone",1.76,06/27/2019
235,Chicken - Wieners,3.81,08/03/2019
236,Wine - Chateauneuf Du Pape,4.28,04/28/2019
237,Papayas,1.52,12/20/2019
238,Lettuce - Frisee,3.8,11/22/2019
239,Cocoa Butter,3.29,06/07/2019
240,Spinach - Frozen,3.09,06/25/2019
241,Relish,3.42,11/03/2019
242,"Tea - Darjeeling, Azzura",3.21,05/18/2019
243,"Pasta - Penne, Lisce, Dry",4.03,01/08/2019
244,Olives - Stuffed,1.44,06/08/2019
245,Truffle Shells - Semi - Sweet,3.09,10/31/2019
246,Oil - Grapeseed Oil,4.69,05/14/2019
247,Pastry - Butterscotch Baked,2.33,07/25/2019
248,Chocolate - Chips Compound,3.27,04/27/2019
249,"Beef - Rib Roast, Capless",4.19,02/12/2019
250,Chinese Foods - Plain Fried Rice,2.05,04/18/2019
251,Sauce - Marinara,1.71,06/13/2019
252,Pastry - Chocolate Marble Tea,4.37,06/15/2019
253,Compound - Strawberry,3.29,02/08/2019
254,Fenngreek Seed,2.19,10/18/2019
255,Sauce - Caesar Dressing,3.76,08/14/2019
256,Anchovy Paste - 56 G Tube,3.81,03/21/2019
257,Pasta - Cheese / Spinach Bauletti,1.56,04/06/2019
258,Piping - Bags Quizna,4.38,09/27/2019
259,Towel Dispenser,1.95,09/10/2019
260,Absolut Citron,1.67,06/21/2019
261,Bread - Bistro White,4.54,01/09/2019
262,Pastry - Plain Baked Croissant,4.62,06/16/2019
263,Breadfruit,4.03,04/26/2019
264,Coffee Caramel Biscotti,2.59,12/09/2019
265,Food Colouring - Red,4.87,03/28/2019
266,"Beans - Long, Chinese",3.55,12/26/2019
267,Tea Leaves - Oolong,1.72,12/22/2019
268,Sauce - Balsamic Viniagrette,3.08,07/08/2019
269,Shortbread - Cookie Crumbs,3.39,10/18/2019
270,Water - San Pellegrino,4.14,05/31/2019
271,"Mushroom - Morels, Dry",1.92,12/04/2019
272,"Pasta - Gnocchi, Potato",4.39,08/06/2019
273,Pur Source,3.99,07/29/2019
274,Nestea - Iced Tea,3.36,06/15/2019
275,Chocolate Bar - Oh Henry,3.99,09/24/2019
276,Apricots Fresh,2.49,12/19/2019
277,"Lid - Translucent, 3.5 And 6 Oz",2.32,03/07/2019
278,Flour - Bread,1.85,07/07/2019
279,Apron,1.29,01/31/2019
280,"Napkin - Dinner, White",1.25,05/03/2019
281,Lemon Pepper,1.53,11/17/2019
282,Cookie Dough - Chocolate Chip,2.82,02/17/2019
283,Onions - Cippolini,2.87,02/04/2019
284,Beef - Montreal Smoked Brisket,1.2,03/07/2019
285,Mousse - Passion Fruit,3.19,07/24/2019
286,Mushroom - White Button,3.25,08/28/2019
287,"Rum - Cream, Amarula",2.64,10/24/2019
288,Ecolab - Hobart Washarm End Cap,1.57,06/02/2019
289,Tea - Decaf 1 Cup,3.4,08/28/2019
290,Fiddlehead - Frozen,3.91,04/14/2019
291,Jagermeister,2.93,05/20/2019
292,Fondant - Icing,4.94,07/13/2019
293,"Yogurt - Raspberry, 175 Gr",3.46,04/30/2019
294,Dried Cherries,3.95,09/22/2019
295,Halibut - Steaks,4.88,06/26/2019
296,Flower - Leather Leaf Fern,3.33,01/17/2019
297,"Chicken - Base, Ultimate",2.74,10/03/2019
298,Kellogs Cereal In A Cup,4.04,05/29/2019
299,"Roe - Lump Fish, Black",4.88,09/23/2019
300,"Veal - Brisket, Provimi,bnls",2.93,09/06/2019
301,Pie Filling - Cherry,4.48,06/03/2019
302,Longos - Penne With Pesto,1.6,11/15/2019
303,Soup Campbells - Tomato Bisque,1.72,09/01/2019
304,Chivas Regal - 12 Year Old,3.78,10/27/2019
305,Flavouring - Orange,1.74,12/26/2019
306,"Vermacelli - Sprinkles, Assorted",3.52,03/27/2019
307,Salt And Pepper Mix - White,3.88,11/10/2019
308,Coffee Beans - Chocolate,2.94,08/04/2019
309,Wine - Baron De Rothschild,3.35,06/12/2019
310,"Beef - Bones, Marrow",4.51,11/15/2019
311,Corn - On The Cob,2.29,11/03/2019
312,"Lamb - Whole, Fresh",2.29,08/18/2019
313,Veal - Knuckle,4.82,03/03/2019
314,Cranberries - Dry,3.78,11/30/2019
315,Muffin Batt - Blueberry Passion,3.58,02/26/2019
316,"Pork - Butt, Boneless",2.92,12/19/2019
317,Pie Pecan,1.73,06/25/2019
318,Gooseberry,4.27,11/15/2019
319,Beets,1.3,01/07/2019
320,Foil Wrap,3.41,06/12/2019
321,Eggroll,1.25,05/30/2019
322,"Wine - Red, Cabernet Merlot",3.56,04/09/2019
323,Nantucket Apple Juice,1.28,10/27/2019
324,Spaghetti Squash,2.05,11/10/2019
325,Couscous,1.78,05/30/2019
326,"Lobster - Baby, Boiled",4.61,12/22/2019
327,Gherkin - Sour,3.36,06/13/2019
328,Cheese - Valancey,3.41,12/29/2019
329,Herb Du Provence - Primerba,2.71,01/18/2019
330,Pork - Backfat,2.79,10/22/2019
331,Lettuce - Belgian Endive,3.1,03/28/2019
332,Bread - Rosemary Focaccia,1.61,07/24/2019
333,Tea - Orange Pekoe,3.32,07/21/2019
334,Tarts Assorted,2.98,02/09/2019
335,Hog / Sausage Casing - Pork,3.49,06/16/2019
336,Veal - Slab Bacon,3.59,01/11/2019
337,"Beef - Ox Tail, Frozen",4.4,01/04/2019
338,Salt - Table,2.97,08/28/2019
339,Island Oasis - Strawberry,1.3,08/31/2019
340,"Sugar - Brown, Individual",3.15,04/10/2019
341,Extract - Rum,3.26,06/22/2019
342,English Muffin,2.53,04/03/2019
343,Table Cloth 81x81 Colour,4.1,12/12/2019
344,Table Cloth 53x53 White,1.04,05/02/2019
345,"Lentils - Green, Dry",3.37,03/18/2019
346,Chicken - Livers,1.02,07/13/2019
347,Snapple Raspberry Tea,2.5,02/25/2019
348,Crush - Cream Soda,1.55,11/26/2019
349,Vinegar - Tarragon,1.3,06/01/2019
350,Mangoes,3.97,01/13/2019
351,Juice - Happy Planet,3.39,02/24/2019
352,Bread - Raisin Walnut Oval,3.86,02/20/2019
353,"Roe - Lump Fish, Red",4.22,10/19/2019
354,Bread - Rosemary Focaccia,3.91,09/25/2019
355,Vinegar - Tarragon,2.09,06/28/2019
356,Bread - Corn Muffaletta,1.4,12/12/2019
357,Sugar - Brown,1.3,10/29/2019
358,Soup - Campbells - Tomato,4.77,05/14/2019
359,Pie Filling - Pumpkin,1.82,01/30/2019
360,Truffle Shells - Semi - Sweet,3.11,03/22/2019
361,"Cherries - Bing, Canned",4.78,09/19/2019
362,Icecream - Dstk Cml And Fdg,1.67,01/13/2019
363,Momiji Oroshi Chili Sauce,1.19,05/02/2019
364,Muffin Hinge 117n,3.88,03/15/2019
365,Tray - 16in Rnd Blk,1.31,01/19/2019
366,Milk - Chocolate 250 Ml,2.28,04/15/2019
367,Coffee - Almond Amaretto,1.19,01/28/2019
368,Orange Roughy 4/6 Oz,1.65,02/03/2019
369,Pork - Ground,1.4,06/25/2019
370,"Stock - Veal, Brown",1.04,10/16/2019
371,Sage - Ground,3.58,09/24/2019
372,Sunflower Seed Raw,1.74,12/23/2019
373,Easy Off Oven Cleaner,2.27,02/17/2019
374,Lettuce - Frisee,4.73,01/09/2019
375,"Lid - High Heat, Super Clear",3.68,05/10/2019
376,"Shrimp, Dried, Small / Lb",2.96,01/11/2019
377,Steel Wool,1.89,02/15/2019
378,Carbonated Water - Blackcherry,2.19,10/07/2019
379,Pie Shells 10,1.91,07/01/2019
380,Icecream - Dstk Super Cone,2.53,05/18/2019
381,Bag Clear 10 Lb,4.81,05/27/2019
382,"Salmon - Whole, 4 - 6 Pounds",4.75,04/21/2019
383,The Pop Shoppe Pinapple,3.86,04/10/2019
384,Ice Cream Bar - Oreo Sandwich,3.45,04/10/2019
385,Beef - Top Butt,2.12,07/28/2019
386,Octopus,1.05,08/11/2019
387,Ezy Change Mophandle,2.52,04/11/2019
388,Smoked Paprika,2.27,01/28/2019
389,Wine - George Duboeuf Rose,1.86,02/08/2019
390,Island Oasis - Wildberry,4.8,07/03/2019
391,Muffin Mix - Lemon Cranberry,3.23,09/08/2019
392,"Fish - Soup Base, Bouillon",3.97,02/21/2019
393,Green Scrubbie Pad H.duty,3.05,06/25/2019
394,Anchovy Paste - 56 G Tube,3.47,11/15/2019
395,Meldea Green Tea Liquor,4.88,06/26/2019
396,Pork - Kidney,4.88,08/02/2019
397,Lemon Tarts,2.74,11/08/2019
398,Tuna - Loin,2.59,12/14/2019
399,Oil - Sunflower,2.95,03/17/2019
400,Lettuce - Boston Bib,4.39,09/28/2019
401,Phyllo Dough,3.98,01/31/2019
402,Wheat - Soft Kernal Of Wheat,1.95,07/05/2019
403,Wooden Mop Handle,4.71,10/18/2019
404,Cheese - Brie,1.67,07/01/2019
405,Lobster - Base,4.94,10/05/2019
406,Oats Large Flake,1.59,11/22/2019
407,"Tortillas - Flour, 8",2.11,11/19/2019
408,Cheese - Augre Des Champs,4.66,03/05/2019
409,Cake - Cake Sheet Macaroon,2.57,08/19/2019
410,Raisin - Dark,4.18,09/18/2019
411,Cinnamon Buns Sticky,3.92,12/21/2019
412,Snails - Large Canned,3.61,06/20/2019
413,Ham - Cooked Bayonne Tinned,2.57,09/07/2019
414,"Cheese - Cheddar, Mild",4.93,08/21/2019
415,Celery Root,2.77,07/18/2019
416,Amarula Cream,3.81,08/02/2019
417,Yoplait Drink,1.08,02/09/2019
418,"Beef - Ground, Extra Lean, Fresh",3.4,10/08/2019
419,Cabbage - Red,3.26,01/09/2019
420,Beef - Sushi Flat Iron Steak,3.49,06/22/2019
421,Sauce - Roasted Red Pepper,3.3,03/09/2019
422,"Pasta - Penne Primavera, Single",1.35,12/06/2019
423,Cream - 18%,3.27,12/21/2019
424,Radish,4.25,10/26/2019
425,Cheese - La Sauvagine,2.07,01/25/2019
426,Squid - Breaded,2.68,04/17/2019
427,Mousse - Passion Fruit,2.74,05/07/2019
428,"Roe - Lump Fish, Red",2.85,03/29/2019
429,Shrimp - Black Tiger 16/20,3.83,03/17/2019
430,Broccoli - Fresh,1.48,12/18/2019
431,Carbonated Water - Blackcherry,3.39,02/13/2019
432,"Syrup - Golden, Lyles",3.48,07/03/2019
433,The Pop Shoppe - Root Beer,4.54,03/13/2019
434,Wine - Carmenere Casillero Del,3.74,02/21/2019
435,Bread - Multigrain,3.24,04/08/2019
436,"Yogurt - Blueberry, 175 Gr",4.34,03/31/2019
437,Cinnamon - Ground,1.44,08/09/2019
438,Chocolate - Unsweetened,2.34,10/23/2019
439,Compound - Mocha,3.68,06/16/2019
440,Bread - French Stick,3.17,10/08/2019
441,Sauce - Fish 25 Ozf Bottle,4.21,05/14/2019
442,Gelatine Leaves - Envelopes,1.36,03/03/2019
443,Towel - Roll White,3.14,04/30/2019
444,Flour - Bread,4.75,08/27/2019
445,Veal - Loin,1.08,07/07/2019
446,Wine - Blue Nun Qualitatswein,4.82,05/03/2019
447,"Wine - Red, Cabernet Sauvignon",1.26,06/17/2019
448,Cheese - Cheddarsliced,4.17,11/10/2019
449,Banana,3.34,11/01/2019
450,"Bread - Pita, Mini",1.36,06/16/2019
451,Pasta - Agnolotti - Butternut,4.15,04/07/2019
452,Pastry - Baked Scones - Mini,3.67,04/06/2019
453,Canada Dry,4.13,03/11/2019
454,Potatoes - Pei 10 Oz,1.41,03/04/2019
455,Chocolate - Compound Coating,1.96,09/18/2019
456,Soup - Campbells - Tomato,2.28,08/24/2019
457,Beer - Rickards Red,3.39,08/08/2019
458,Island Oasis - Pina Colada,3.31,01/10/2019
459,V8 - Tropical Blend,4.18,09/09/2019
460,Apple - Macintosh,2.07,05/11/2019
461,Wine - Ruffino Chianti Classico,2.67,11/27/2019
462,"Mushroom - Enoki, Fresh",1.83,11/06/2019
463,"Lemonade - Strawberry, 591 Ml",2.99,04/23/2019
464,Shopper Bag - S - 4,2.84,12/08/2019
465,Cumin - Whole,3.98,05/19/2019
466,Dehydrated Kelp Kombo,3.35,02/14/2019
467,"Juice - Clamato, 341 Ml",3.32,12/15/2019
468,"Wine - Harrow Estates, Vidal",4.12,06/04/2019
469,Chutney Sauce,1.38,09/07/2019
470,Veal - Insides Provini,2.67,07/22/2019
471,Water - San Pellegrino,1.16,02/06/2019
472,Bagel - 12 Grain Preslice,1.57,07/12/2019
473,Corn - Mini,1.49,09/12/2019
474,Trout Rainbow Whole,2.7,01/24/2019
475,Ecolab - Mikroklene 4/4 L,3.53,06/06/2019
476,Tomatoes - Orange,3.83,09/11/2019
477,Pancetta,1.56,08/13/2019
478,Nut - Macadamia,1.62,10/29/2019
479,Soup - Campbells Chili Veg,4.71,03/09/2019
480,Tequila Rose Cream Liquor,2.81,06/08/2019
481,Muffin Mix - Lemon Cranberry,1.58,02/15/2019
482,Carbonated Water - Strawberry,4.73,03/08/2019
483,Pickle - Dill,3.99,07/15/2019
484,"Wine - White, Chardonnay",3.68,01/07/2019
485,Lychee,1.15,09/11/2019
486,Scallops 60/80 Iqf,1.82,01/13/2019
487,Rye Special Old,1.45,01/19/2019
488,Puff Pastry - Slab,3.41,11/28/2019
489,Arctic Char - Fillets,1.56,05/01/2019
490,Soup Campbells - Tomato Bisque,2.87,12/16/2019
491,Cheese - Le Cheve Noir,4.26,09/19/2019
492,Dooleys Toffee,3.82,12/05/2019
493,"Chicken - Base, Ultimate",1.35,06/16/2019
494,Wine - Baron De Rothschild,3.37,04/03/2019
495,Vinegar - Sherry,1.3,01/21/2019
496,Muffin Hinge 117n,3.31,07/14/2019
497,"Pork - Bacon, Sliced",4.19,06/18/2019
498,Otomegusa Dashi Konbu,3.84,08/22/2019
499,Tahini Paste,3.9,11/30/2019
500,Table Cloth 90x90 Colour,3.01,01/19/2019
501,Cape Capensis - Fillet,1.75,02/04/2019
502,Tea Leaves - Oolong,3.99,01/30/2019
503,Wine - Magnotta - Bel Paese White,3.85,09/09/2019
504,Eggplant - Baby,4.35,02/22/2019
505,Limes,2.47,01/22/2019
506,"Beef - Ox Tail, Frozen",1.39,09/17/2019
507,Coffee Guatemala Dark,3.75,06/05/2019
508,Oven Mitts - 15 Inch,4.08,05/16/2019
509,Compound - Raspberry,1.83,10/08/2019
510,Wine - Vouvray Cuvee Domaine,4.49,07/08/2019
511,Kellogs Special K Cereal,2.28,12/06/2019
512,Sauce - Chili,4.87,04/25/2019
513,Nantucket - Carrot Orange,1.44,11/02/2019
514,Clams - Bay,3.49,09/01/2019
515,"Wine - White, Cooking",1.01,04/07/2019
516,Lady Fingers,4.92,02/23/2019
517,Wiberg Super Cure,3.8,08/18/2019
518,Bag - Regular Kraft 20 Lb,1.23,04/01/2019
519,Chinese Foods - Pepper Beef,2.34,12/29/2019
520,"Sugar - Brown, Individual",3.88,08/20/2019
521,Vaccum Bag - 14x20,1.85,11/04/2019
522,Squash - Sunburst,4.9,04/13/2019
523,Mini - Vol Au Vents,2.76,09/02/2019
524,"Vodka - Hot, Lnferno",4.54,02/14/2019
525,Tea - Herbal Orange Spice,1.03,05/08/2019
526,Muffin - Blueberry Individual,3.66,09/08/2019
527,Curry Powder,3.03,08/08/2019
528,Jack Daniels,2.91,03/02/2019
529,Mcgillicuddy Vanilla Schnap,3.76,10/28/2019
530,Sproutsmustard Cress,4.73,01/06/2019
531,Lettuce - Treviso,3.81,11/23/2019
532,"Pasta - Spaghetti, Dry",4.08,07/15/2019
533,Chivas Regal - 12 Year Old,1.8,01/09/2019
534,Whmis Spray Bottle Graduated,3.47,07/20/2019
535,Lettuce - Arugula,2.29,09/14/2019
536,Tuna - Bluefin,2.87,10/07/2019
537,"Arctic Char - Fresh, Whole",1.59,03/28/2019
538,Table Cloth 54x72 White,1.19,10/15/2019
539,"Tuna - Canned, Flaked, Light",1.1,03/28/2019
540,Tomato - Peeled Italian Canned,2.45,10/07/2019
541,"Sauce - Apple, Unsweetened",4.52,10/19/2019
